From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10186;12153;sea;8751;-1;-1;-1;-1;;Negros-Cebu
7385;12153;sea;8751;-1;-1;-1;-1;;Bohol-Cebu
7557;1574;sea;5390;-1;-1;-1;-1;;Buru-Seram
7557;7369;sea;4899;-1;-1;-1;-1;;Buru-Taliabu
10342;1437;sea;4899;-1;-1;-1;-1;;Obi-Bacan
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
3178;13269;sea;3590;-1;-1;-1;-1;;Isle of Skye
13270;11064;sea;3195;-1;-1;-1;-1;;Orkney-Thurso
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2431;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
7452;7678;;-1;-1;-1;-1;-1;DARDANELLES_STRAIT;Dardanelles
2919;2943;;-1;-1;-1;-1;-1;HORMUZ_STRAIT;hormuz
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
2098;12860;impassable;-1;-1;-1;-1;-1;;Himalayas
4210;7976;impassable;-1;-1;-1;-1;-1;;Yunnan Mountain Chains 
4210;5009;impassable;-1;-1;-1;-1;-1;;Yunnan Mountain Chains 
4210;10413;impassable;-1;-1;-1;-1;-1;;Yunnan Mountain Chains 
7400;10413;impassable;-1;-1;-1;-1;-1;;Yunnan Mountain Chains 
7909;10413;impassable;-1;-1;-1;-1;-1;;Yunnan Mountain Chains 
7909;10776;impassable;-1;-1;-1;-1;-1;;Yunnan Mountain Chains 
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
611;3612;impassable;-1;-1;-1;-1;-1;;western alps
11570;3612;impassable;-1;-1;-1;-1;-1;;western alps
11570;9587;impassable;-1;-1;-1;-1;-1;;western alps
6635;9587;impassable;-1;-1;-1;-1;-1;;western alps
3641;11601;impassable;-1;-1;-1;-1;-1;;central alps
3641;658;impassable;-1;-1;-1;-1;-1;;central alps
6661;3662;impassable;-1;-1;-1;-1;-1;;eastern alps
3662;11587;impassable;-1;-1;-1;-1;-1;;eastern alps
11587;3660;impassable;-1;-1;-1;-1;-1;;eastern alps
3660;6675;impassable;-1;-1;-1;-1;-1;;eastern alps
6675;9633;impassable;-1;-1;-1;-1;-1;;eastern alps
9633;9630;impassable;-1;-1;-1;-1;-1;;eastern alps
9630;11618;impassable;-1;-1;-1;-1;-1;;eastern alps
671;11634;impassable;-1;-1;-1;-1;-1;;austrian alps
671;3675;impassable;-1;-1;-1;-1;-1;;austrian alps
3675;668;impassable;-1;-1;-1;-1;-1;;austrian alps
3674;3675;impassable;-1;-1;-1;-1;-1;;austrian alps
3674;6691;impassable;-1;-1;-1;-1;-1;;austrian alps
6691;6687;impassable;-1;-1;-1;-1;-1;;austrian alps
6691;9650;impassable;-1;-1;-1;-1;-1;;austrian alps
9650;3684;impassable;-1;-1;-1;-1;-1;;austrian alps
3314;6336;sea;2752;2885;1578;2890;1581;;Afsluitdijk
13058;10245;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;12512;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;10636;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;13066;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
12960;13292;sea;2580;-1;-1;-1;-1;;Falklands
7683;13293;sea;8642;-1;-1;-1;-1;;Cote Nord
8198;13295;sea;5473;-1;-1;-1;-1;;Aysen
13307;13296;sea;9009;-1;-1;-1;-1;;Chubut
12954;13297;sea;5424;-1;-1;-1;-1;;Araucania
13312;7982;sea;2919;-1;-1;-1;-1;;South Iran
761;13315;sea;9092;-1;-1;-1;-1;;Ontario
13196;13314;sea;9092;-1;-1;-1;-1;;Northern Quebec
8053;10476;impassable;-1;-1;-1;-1;-1;;Paropamisus Mountains
12788;10476;impassable;-1;-1;-1;-1;-1;;Paropamisus Mountains
12788;10896;impassable;-1;-1;-1;-1;-1;;Paropamisus Mountains
1995;10896;impassable;-1;-1;-1;-1;-1;;Paropamisus Mountains
10852;7584;impassable;-1;-1;-1;-1;-1;;North Afghanistan
10852;12248;impassable;-1;-1;-1;-1;-1;;North Afghanistan
12877;7584;impassable;-1;-1;-1;-1;-1;;North Afghanistan
10781;12248;impassable;-1;-1;-1;-1;-1;;North Afghanistan
10781;12314;impassable;-1;-1;-1;-1;-1;;North Afghanistan
10789;7916;impassable;-1;-1;-1;-1;-1;;South Afghanistan
10789;1995;impassable;-1;-1;-1;-1;-1;;South Afghanistan
10789;2078;impassable;-1;-1;-1;-1;-1;;South Afghanistan
5064;2078;impassable;-1;-1;-1;-1;-1;;South Afghanistan
1421;10184;sea;2899;-1;-1;-1;-1;;Sulu-Mindanao
12118;1224;sea;8751;-1;-1;-1;-1;;Cebu-Samar
5864;5838;;-1;-1;-1;-1;-1;OTRANTO_STRAIT;Otranto Strait
6654;6848;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
6654;7052;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
6466;7052;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7504;7052;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7504;7277;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7504;8567;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7729;8567;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8907;8567;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8907;8955;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8932;8955;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8932;8544;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8932;9003;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8980;9003;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
9027;9003;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
9081;9003;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
9081;259;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
1040;259;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8364;259;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8364;835;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8364;8390;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8364;8337;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8364;2549;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
1487;2549;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2525;2549;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2525;2573;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2502;2573;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2476;2573;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2476;8439;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2476;645;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2476;1266;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2427;1266;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2427;5684;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2402;5684;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2145;5684;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2145;2253;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2145;5710;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2279;5710;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2279;8690;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8563;8690;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8563;8715;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8515;8715;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7234;8715;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7234;8741;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
9007;8741;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
9007;6425;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
13528;6425;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
13528;8959;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
6616;8959;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
6616;5862;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7286;8959;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7286;5862;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7286;5888;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7286;5983;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
6475;5983;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
6475;5940;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
6068;5940;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
6068;7051;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
5987;7051;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
5987;7276;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7503;7276;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7503;8868;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7728;8868;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7728;9010;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7955;9010;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7955;8429;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
7955;8405;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8166;8405;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
420;8405;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
420;1710;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
420;1259;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
1935;1259;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
1935;9026;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
9080;1259;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
9080;9026;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
9080;9002;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2435;9002;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
2435;9026;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8931;9002;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8931;2412;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8931;2484;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
8883;2484;sea;;-1;-1;-1;-1;SPACE_IS_NOT_SEA;
13441;7243;sea;2723;868;281;-1;-1;ORBIT_AREA;odessa
13447;2086;sea;2913;886;287;-1;-1;ORBIT_AREA;delhi
13434;4135;sea;2746;863;259;-1;-1;ORBIT_AREA;arti-gibraltar
13442;10000;sea;2913;905;280;-1;-1;ORBIT_AREA;qingdao
13435;11763;sea;2401;907;258;-1;-1;ORBIT_AREA;california
13429;12004;sea;2746;868;239;-1;-1;ORBIT_AREA;cairo
13428;7471;sea;2746;886;233;-1;-1;ORBIT_AREA;torrington
13430;10980;sea;2746;904;237;-1;-1;ORBIT_AREA;rio de janeiro
13410;13389;sea;6059;-1;-1;-1;-1;;SI3
13410;13409;sea;5955;-1;-1;-1;-1;;SI3
13389;13409;sea;5955;-1;-1;-1;-1;;SI3
13490;13484;sea;2352;-1;-1;-1;-1;;SI1
13490;13488;sea;2352;-1;-1;-1;-1;;SI1
13484;13488;sea;2352;-1;-1;-1;-1;;SI1
13444;13432;sea;5144;-1;-1;-1;-1;;SI5
13444;13439;sea;5600;-1;-1;-1;-1;;SI5
13432;13439;sea;5144;-1;-1;-1;-1;;SI5
13415;13388;sea;2524;-1;-1;-1;-1;;SI2
13415;13406;sea;2362;-1;-1;-1;-1;;SI2
13406;13388;sea;2362;-1;-1;-1;-1;;SI2
13519;13498;sea;8280;-1;-1;-1;-1;;SI4
13519;13516;sea;8280;-1;-1;-1;-1;;SI4
13498;13516;sea;8280;-1;-1;-1;-1;;SI4
13425;13419;sea;2793;-1;-1;-1;-1;;SI6
13425;13423;sea;2793;-1;-1;-1;-1;;SI6
13419;13423;sea;1039;-1;-1;-1;-1;;SI6
13511;13494;sea;7061;-1;-1;-1;-1;;SI7
13511;13505;sea;7514;-1;-1;-1;-1;;SI7
13494;13505;sea;7061;-1;-1;-1;-1;;SI7
13672;13677;impassable;-1;-1;-1;-1;-1;;Jaburo
13677;13668;impassable;-1;-1;-1;-1;-1;;Jaburo
13677;13689;impassable;-1;-1;-1;-1;-1;;Jaburo
13669;13689;impassable;-1;-1;-1;-1;-1;;Jaburo
13676;13669;impassable;-1;-1;-1;-1;-1;;Jaburo
13669;13660;impassable;-1;-1;-1;-1;-1;;Jaburo
13660;13653;impassable;-1;-1;-1;-1;-1;;Jaburo
13653;13634;impassable;-1;-1;-1;-1;-1;;Jaburo
13629;13637;impassable;-1;-1;-1;-1;-1;;Jaburo
13638;13639;impassable;-1;-1;-1;-1;-1;;Jaburo
13638;13626;impassable;-1;-1;-1;-1;-1;;Jaburo
13623;13626;impassable;-1;-1;-1;-1;-1;;Jaburo
13623;13614;impassable;-1;-1;-1;-1;-1;;Jaburo
13623;13609;impassable;-1;-1;-1;-1;-1;;Jaburo
13629;5214;impassable;-1;-1;-1;-1;-1;;Jaburo
8107;13642;impassable;-1;-1;-1;-1;-1;;Jaburo
13648;13653;impassable;-1;-1;-1;-1;-1;;Jaburo
13650;13658;impassable;-1;-1;-1;-1;-1;;Jaburo
13650;13639;impassable;-1;-1;-1;-1;-1;;Jaburo
13638;13618;impassable;-1;-1;-1;-1;-1;;Jaburo
13609;13629;impassable;-1;-1;-1;-1;-1;;Jaburo
13668;13672;impassable;-1;-1;-1;-1;-1;;Jaburo
13669;13683;impassable;-1;-1;-1;-1;-1;;Jaburo
8107;5214;impassable;-1;-1;-1;-1;-1;;Jaburo
13476;13447;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;Luna2 - P-India
13476;13441;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;Luna2 - P-Odessa
13476;13434;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;Luna2 - P-Europa
13476;13429;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;Luna2 - P-Africa
13476;13428;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;Luna2 - P-Australia
13476;13430;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;Luna2 - P-South America
13476;13435;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;Luna2 - P-North America
13476;13442;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;Luna2 - P-China
13396;13447;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;VBC - P-India
13396;13441;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;VBC - P-Odessa
13396;13434;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;VBC - P-Europa
13396;13429;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;VBC - P-Africa
13396;13428;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;VBC - P-Australia
13396;13430;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;VBC - P-South America
13396;13435;sea;;-1;-1;-1;-1;SPACE_SUPPLY_NETWORK;VBC - P-North America
